supplier_id,supplier_name,order_date,delivery_date,quantity,value_usd,country,category
SUP-001,Alpha Metals,2024-01-15,2024-02-10,500,12500.00,China,Raw Materials
SUP-001,Alpha Metals,2024-02-10,2024-03-05,600,15000.00,China,Raw Materials
SUP-001,Alpha Metals,2024-03-05,2024-04-02,450,11250.00,China,Raw Materials
SUP-001,Alpha Metals,2024-04-02,2024-05-01,700,17500.00,China,Raw Materials
SUP-001,Alpha Metals,2024-05-01,2024-06-10,550,13750.00,China,Raw Materials
SUP-002,Beta Plastics,2024-01-20,2024-02-18,1000,8000.00,India,Packaging
SUP-002,Beta Plastics,2024-02-18,2024-03-20,1200,9600.00,India,Packaging
SUP-002,Beta Plastics,2024-03-20,2024-04-15,1100,8800.00,India,Packaging
SUP-002,Beta Plastics,2024-04-15,2024-05-30,900,7200.00,India,Packaging
SUP-002,Beta Plastics,2024-05-30,2024-06-25,1300,10400.00,India,Packaging
SUP-003,Gamma Electronics,2024-01-10,2024-01-28,200,24000.00,Germany,Components
SUP-003,Gamma Electronics,2024-01-28,2024-02-20,250,30000.00,Germany,Components
SUP-003,Gamma Electronics,2024-02-20,2024-03-15,180,21600.00,Germany,Components
SUP-003,Gamma Electronics,2024-03-15,2024-04-10,300,36000.00,Germany,Components
SUP-003,Gamma Electronics,2024-04-10,2024-05-05,220,26400.00,Germany,Components
SUP-004,Delta Chemicals,2024-01-25,2024-03-05,800,16000.00,USA,Chemicals
SUP-004,Delta Chemicals,2024-03-05,2024-04-20,750,15000.00,USA,Chemicals
SUP-004,Delta Chemicals,2024-04-20,2024-06-01,900,18000.00,USA,Chemicals
SUP-004,Delta Chemicals,2024-06-01,2024-07-15,850,17000.00,USA,Chemicals
SUP-004,Delta Chemicals,2024-07-15,2024-08-30,920,18400.00,USA,Chemicals
SUP-005,Epsilon Textiles,2024-01-18,2024-02-05,2000,10000.00,Bangladesh,Textiles
SUP-005,Epsilon Textiles,2024-02-05,2024-02-25,2200,11000.00,Bangladesh,Textiles
SUP-005,Epsilon Textiles,2024-02-25,2024-03-20,1800,9000.00,Bangladesh,Textiles
SUP-005,Epsilon Textiles,2024-03-20,2024-04-18,2500,12500.00,Bangladesh,Textiles
SUP-005,Epsilon Textiles,2024-04-18,2024-05-25,2100,10500.00,Bangladesh,Textiles
